,Effectsize_ID,summary_statistic,effect_size,First_author,Year_published,Title,Paper_ID,Study_ID,Group_ID,Group_ID_notes,Species,Class,Rearing_type,Competition_order,Competition_order_notes,Perception_competition,Perception_competition_notes,Precendence,Precedence_notes,Fertilisation_mode,PC_variation_level,PC_variation_level_note,PC_variation_cause,PC_variation_notes,PC_variation_cause2,PC_variation_notes2,PC_variation_nature,Study_design,Study_design_notes,Fertilisation_methods,PC_type,PC_type_notes,Precop_correlation,Precop_correlation_notes,Postcop_correlation,Postcop_correlation_notes,Coin,Coin_notes,Inverse_precedence,Inverse_precedence_notes,N,N_notes,N_dependent,Corr_r,estimate,SE,n_groups,n_groups_notes,CI_lower,CI_upper,F,F_direction,F_n_goups,t,t_n_groups,p,mean_low,n_low,SD_low,SE_low,mean_med1,n_med1,SD_med1,mean_med2,n_med2,SD_med2,mean_high,n_high,SD_high,SE_high,Data_location,Notes,effect_size_group2,effect_size_est,effect_size_t,effect_size_F,effect_size_p,effect_size2,N2,yi,vi
1,1,effect_size_group2,-0.139392195,Calos,1998,Paternity of offspring in multiply-mated female crickets: The effect of nuptial food gifts and the advantage of mating first,1,1,1,NA,Gryllodes_sigillatus,Insecta,4,1,NA,4,Not clear how males were housed,1,based on Table 1,1,1,NA,1,Selected males with either small or large spermatophores,1,NA,1,4,males split into large and small spermatophore groups but ejaculates not directly measured from each male,1,6,NA,5,selected males ofsmale body size,1,NA,1,NA,1,NA,26,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,13,0.216333077,0.06,NA,NA,NA,NA,NA,NA,0.61,13,0.216333077,0.06,Table 1,compared when large and small gift males were the first to mate,-0.139392195,NA,NA,NA,NA,-0.139392195,26,-0.140305674,0.043478261
2,2,effect_size_group2,0.111762878,Calos,1998,Paternity of offspring in multiply-mated female crickets: The effect of nuptial food gifts and the advantage of mating first,1,1,2,NA,Gryllodes_sigillatus,Insecta,4,2,NA,4,Not clear how males were housed,1,based on Table 1,1,1,NA,1,Selected males with either small or large spermatophores,1,NA,1,4,males split into large and small spermatophore groups but ejaculates not directly measured from each male,1,6,NA,5,selected males ofsmale body size,1,NA,1,NA,1,NA,26,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,13,0.216333077,0.06,NA,NA,NA,NA,NA,NA,0.38,13,0.216333077,0.06,Table 1,compared with large and smal gift males were the second to mate,0.111762878,NA,NA,NA,NA,0.111762878,26,0.112231738,0.043478261
3,4,effect_size_F,0.748214702,Yeates,2009,Atlantic salmon eggs favour sperm in competition that have similar major histocompatibility alleles,2,2,3,NA,Salmo_salar,Actinopterygii,2,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,4,NA,1,NA,1,NA,1,NA,1,NA,18,nine pairs of males,dependent,NA,NA,NA,NA,NA,NA,NA,8.86,positive,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in text,NA,NA,NA,NA,0.748214702,NA,0.748214702,9,0.968886821,0.166666667
4,5,Corr_r,0.39,Rosengrave,2016,Cryptic female choice enhances fertilization success and embryo survival in Chinook Salmon,3,3,4,NA,Oncorhynchus_tshawytscha,Actinopterygii,2,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,2,NA,2,4,difference in VAP between males,1,NA,1,NA,1,NA,1,NA,90,"90 trials with 28 individuals, but each trial was a different combination of individuals",dependent,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 1; Fig 1 (metadigitise),NA,NA,NA,NA,NA,NA,0.39,45,0.411800034,0.023809524
5,6,Corr_r,0.4,Evans,2013,Delineating the roles of males and females in sperm competition,4,4,5,NA,Oncorhynchus_tshawytscha,Actinopterygii,2,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,2,NA,2,4,NA,5,body size in model,1,NA,1,NA,1,NA,20,Taken from Fig. 3. High velocity - low velocity,independent,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 3,NA,NA,NA,NA,NA,NA,0.4,20,0.42364893,0.058823529
6,7,Corr_r,0.208,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,1,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,20,NA,independent,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,0.208,20,0.211079993,0.058823529
7,8,Corr_r,-0.168,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,1,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,head,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,-0.168,20,-0.169607861,0.058823529
8,9,Corr_r,-0.124,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,1,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,midpiece,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,-0.124,20,-0.12464147,0.058823529
9,10,Corr_r,0.218,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,1,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,tail,1,NA,1,NA,1,NA,1,NA,20,NA,independent,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,0.218,20,0.221555354,0.058823529
10,11,Corr_r,-0.277,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,2,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,midpiece,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,-0.277,20,-0.284429817,0.058823529
11,12,Corr_r,-0.147,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,2,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,tail,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,-0.147,20,-0.148072785,0.058823529
12,13,Corr_r,-0.027,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,2,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,-0.027,20,-0.027006564,0.058823529
13,14,Corr_r,-0.141,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,2,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,head,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 2; univar model,NA,NA,NA,NA,NA,NA,-0.141,20,-0.141945714,0.058823529
14,15,effect_size_est,-0.099005864,Gasparini,2010,Effect of male age on sperm traits and sperm competition success in the guppy (Poecilia reticulata),6,6,7,NA,Poecilia_reticulata,Actinopterygii,6,3,NA,3,NA,5,NA,1,1,age,3,NA,3,NA,1,2,NA,2,3,tail,5,Body size and colour in model,1,NA,1,NA,1,NA,54,through corresondence with author,independent,NA,-0.04,0.07,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 4,NA,NA,-0.099005864,NA,NA,NA,-0.099005864,54,-0.099331271,0.019607843
15,16,effect_size_est,-0.153331392,Gasparini,2010,Effect of male age on sperm traits and sperm competition success in the guppy (Poecilia reticulata),6,6,7,NA,Poecilia_reticulata,Actinopterygii,6,3,NA,3,NA,5,NA,1,1,age,3,NA,3,NA,1,2,NA,2,4,NA,5,Body size and colour in model,1,NA,1,NA,1,NA,54,through corresondence with author,independent,NA,-0.008,0.009,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 4,NA,NA,-0.153331392,NA,NA,NA,-0.153331392,54,-0.154550266,0.019607843
16,17,effect_size_est,-0.172155937,Gasparini,2010,Effect of male age on sperm traits and sperm competition success in the guppy (Poecilia reticulata),6,6,7,NA,Poecilia_reticulata,Actinopterygii,6,3,NA,3,NA,5,NA,1,1,age,3,NA,3,NA,1,2,NA,2,1,NA,5,Body size and colour in model,1,NA,1,NA,1,NA,54,through corresondence with author,independent,NA,-3.00E-05,3.00E-05,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 4,NA,NA,-0.172155937,NA,NA,NA,-0.172155937,54,-0.173887603,0.019607843
17,18,Corr_r,0.79,Liljedal,2008,Factors predicting male fertilization success in an external fertilizer,7,7,8,NA,Salvelinus_alpinus,Actinopterygii,2,3,NA,4,NA,5,NA,2,1,NA,1,NA,1,NA,1,2,NA,2,4,relative velocity,1,NA,1,NA,1,NA,1,NA,25,NA,independent,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 1,NA,NA,NA,NA,NA,NA,0.79,25,1.071431684,0.045454545
18,19,Corr_r,0.57,Firman,2014,"Female fitness, sperm traits and patterns of paternity in an Australian polyandrous mouse",8,8,9,NA,Pseudomys_hermannsburgensis,Mammalia,4,2,NA,4,NA,3,NA,1,1,NA,1,NA,5,NA,1,2,NA,1,4,NA,1,Correlation matrix,2,Correlation matrix,1,NA,1,NA,10,NA,dependent,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 2,Only took second male to mate traits on P2,NA,NA,NA,NA,NA,0.57,5,0.647522845,0.5
19,20,Corr_r,-0.65,Firman,2014,"Female fitness, sperm traits and patterns of paternity in an Australian polyandrous mouse",8,8,9,NA,Pseudomys_hermannsburgensis,Mammalia,4,2,NA,4,NA,3,NA,1,1,NA,1,NA,5,NA,1,2,NA,1,1,NA,1,Correlation matrix,2,Correlation matrix,1,NA,1,NA,9,NA,dependent,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 2,Only took second male to mate traits on P2,NA,NA,NA,NA,NA,-0.65,4.5,-0.775298706,0.666666667
20,21,effect_size_est,-0.12725477,Patlar,2020,Genotype-by-environment interactions for seminal fluid expression and sperm competitive ability,9,9,10,recipient one,Macrostomum_lignano,Macrostomida,4,1,NA,3,some were exposed others weren't,2,"Angeloni et al. 2003; Pongratz and Michiels 2003; Garefalaki et al. 2010; P. Sandner et al., unpubl. ms.)",1,1,NA,6,genotypes,5,NA,1,2,NA,1,7,suckless 2,1,NA,1,NA,1,NA,1,NA,26,Based on fig. 3,independent,NA,-0.07,0.14,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table S4,NA,NA,-0.12725477,NA,NA,NA,-0.12725477,26,-0.127948434,0.043478261
21,22,effect_size_est,-0.15902862,Patlar,2020,Genotype-by-environment interactions for seminal fluid expression and sperm competitive ability,9,9,10,recipient two,Macrostomum_lignano,Macrostomida,4,1,NA,3,some were exposed others weren't,2,"Angeloni et al. 2003; Pongratz and Michiels 2003; Garefalaki et al. 2010; P. Sandner et al., unpubl. ms.)",1,1,NA,6,genotypes,5,NA,1,2,NA,1,7,suckless 2,1,NA,1,NA,1,NA,1,NA,24,Based on fig. 3,independent,NA,-0.06,0.1,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table S4,NA,NA,-0.15902862,NA,NA,NA,-0.15902862,24,-0.160389954,0.047619048
22,23,Corr_r,0.23,Patlar,2020,Genotype-by-environment interactions for seminal fluid expression and sperm competitive ability,9,9,10,recipient one,Macrostomum_lignano,Macrostomida,4,1,NA,3,some were exposed others weren't,2,"Angeloni et al. 2003; Pongratz and Michiels 2003; Garefalaki et al. 2010; P. Sandner et al., unpubl. ms.)",1,1,NA,6,genotypes,5,NA,1,2,NA,1,7,suckless 1,1,NA,1,NA,1,NA,1,NA,26,Based on fig. 3,independent,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 3,NA,NA,NA,NA,NA,NA,0.23,26,0.234189467,0.043478261
23,24,Corr_r,0.26,Patlar,2020,Genotype-by-environment interactions for seminal fluid expression and sperm competitive ability,9,9,10,recipient two,Macrostomum_lignano,Macrostomida,4,1,NA,3,some were exposed others weren't,2,"Angeloni et al. 2003; Pongratz and Michiels 2003; Garefalaki et al. 2010; P. Sandner et al., unpubl. ms.)",1,1,NA,6,genotypes,5,NA,1,2,NA,1,7,suckless 1,1,NA,1,NA,1,NA,1,NA,24,Based on fig. 3,independent,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 3,NA,NA,NA,NA,NA,NA,0.26,24,0.266108407,0.047619048
24,25,Corr_r,0.5,Lupold,2012,How multivariate ejaculate traits determine competitive fertilization success in drosophila melanogaster,11,11,12,NA,Drosophila_melanogaster,Insecta,4,1,p2 reported so inverted to get p1,2,single sex,2,NA,1,1,NA,6,isolines,5,NA,1,1,offspring prior to dissecting female reproductive tract,1,1,NA,1,NA,1,NA,1,NA,1,P2 reported for P1 sperm number (already inversed r),32,n given by author,independent,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in text,NA,NA,NA,NA,NA,NA,0.5,32,0.549306144,0.034482759
25,26,Corr_r,0.17,Lupold,2012,How multivariate ejaculate traits determine competitive fertilization success in drosophila melanogaster,11,11,13,different group of individuals 72 hours later,Drosophila_melanogaster,Insecta,4,2,NA,2,single sex,2,NA,1,1,NA,6,isolines,5,NA,1,1,offspring prior to dissecting female reproductive tract,1,1,72 hours later,1,NA,1,NA,1,NA,1,NA,32,n given by author,independent,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in text,NA,NA,NA,NA,NA,NA,0.17,32,0.171666664,0.034482759
26,27,Corr_r,0.216,Lupold,2012,How multivariate ejaculate traits determine competitive fertilization success in drosophila melanogaster,11,11,13,NA,Drosophila_melanogaster,Insecta,4,2,NA,2,single sex,2,NA,1,1,NA,6,NA,5,NA,1,1,NA,1,3,total,1,NA,1,NA,1,NA,1,NA,32,n given by author,independent,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,0.216,32,0.219456521,0.034482759
27,28,Corr_r,0.127,Lupold,2012,How multivariate ejaculate traits determine competitive fertilization success in drosophila melanogaster,11,11,13,NA,Drosophila_melanogaster,Insecta,4,2,NA,2,single sex,2,NA,1,1,NA,6,NA,5,NA,1,1,NA,1,3,total,1,NA,1,NA,1,NA,1,NA,32,n given by author,independent,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,0.127,32,0.127689479,0.034482759
28,29,effect_size_group2,0.606806124,Bennison,2015,Long sperm fertilize more eggs in a bird,12,12,14,NA,Taeniopygia_guttata,Aves,4,4,mating order in model,4,NA,3,"in text, found that mating order didn't matter",1,1,NA,5,selected for long and short sperm,5,NA,1,2,NA,1,3,total,1,NA,1,provide a table of averages of other traits,1,NA,1,NA,36,18 pairs of long and short against each other,dependent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,18,33.9411255,8,NA,NA,NA,NA,NA,NA,64,18,8.485281374,2,in text,also measured longevity,0.606806124,NA,NA,NA,NA,0.606806124,18,0.70385045,0.066666667
29,30,effect_size_est,0.186100303,Demary,2006,Male courtship attractiveness and paternity success in Photinus greeni fireflies,13,13,15,NA,Photinus_greeni,Insecta,2,4,mating order in model,4,housed in isolation but were collected as adults from the wild,3,mating order non-sig in model,1,1,NA,1,NA,1,NA,1,4,NA,1,2,testes weight,5,NA,5,testes and AG size both in model,1,NA,1,NA,20,NA,dependent,NA,0.86,1.35,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 1,NA,NA,0.186100303,NA,NA,NA,0.186100303,10,0.188294507,0.142857143
30,31,effect_size_est,0.240007404,Demary,2006,Male courtship attractiveness and paternity success in Photinus greeni fireflies,13,13,15,NA,Photinus_greeni,Insecta,2,4,mating order in model,4,housed in isolation but were collected as adults from the wild,3,mating order non-sig in model,1,1,NA,1,NA,1,NA,1,4,NA,1,8,AG weight,5,NA,5,testes and AG size both in model,1,NA,1,NA,20,NA,dependent,NA,1.49,1.8,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 1,NA,NA,0.240007404,NA,NA,NA,0.240007404,10,0.244781969,0.142857143
31,32,Corr_r,-0.191,Yamane,2015,Male seminal fluid substances affect sperm competition success and female reproductive behavior in a seed beetle,14,14,16,females 1 day after 1st mating,Callosobruchus_maculatus,Insecta,4,2,NA,2,NA,2,based on Fig. 2,1,2,inject females with sfps,4,NA,4,NA,2,4,males naturally mated but the females were injected with sfps,3,7,NA,1,NA,1,NA,1,NA,1,NA,118,calculated from raw data,independent,-0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data,control = lowest as wasn't injected. Frac 3 = highest,NA,NA,NA,NA,NA,-0.191,118,-0.193374826,0.008695652
